,log2FoldChange,pvalue,padj
ENSMUSG00000023191,0.15543019357833798,0.4929725678156641,0.6489416817901444
ENSMUSG00000023206,-0.11224882252424895,0.061438985429919594,0.14138567536928434
ENSMUSG00000023224,0.1873316491720533,2.621926104900885e-48,1.0940518144206694e-46
ENSMUSG00000023232,-0.711930567914435,2.3102276398631134e-10,2.677748087976472e-09
ENSMUSG00000023235,-0.0871616964675801,0.6511871219892997,0.7780280124123818
ENSMUSG00000023243,0.4959337018823589,1.1201674517593577e-16,1.8900836380013904e-15
ENSMUSG00000023249,0.19724503371863644,0.0028170916880750118,0.010974786417408556
ENSMUSG00000023259,0.3161238768756693,0.27516907292434034,0.4344928090624374
ENSMUSG00000023262,0.05543451452936554,0.5034035228509384,0.6573519210608152
ENSMUSG00000023266,0.5665844695410422,0.09779810687668267,0.2024001303041694
ENSMUSG00000023267,-0.29025801863293527,0.7107668486924936,0.8207576198177569
ENSMUSG00000023272,-0.1402647468098653,0.0003428988213801535,0.0017188360075611007
ENSMUSG00000023274,1.2952831418601076,2.2826053966740605e-10,2.6477193628287617e-09
ENSMUSG00000023277,0.2822498237738612,0.26285418518023757,0.4215003910467062
ENSMUSG00000023284,0.51594325543228,0.00834648240426415,0.02794044705972121
ENSMUSG00000023286,0.006483949512884014,0.932942577685951,0.9619140147517963
ENSMUSG00000023307,-0.06536241216942726,0.11176297127151567,0.2236359852756218
ENSMUSG00000023328,-0.02790882475050281,0.9572858842181673,0.9760121067833435
ENSMUSG00000023330,0.6312175330574534,1.1568668525615722e-05,7.77912340448524e-05
ENSMUSG00000023336,0.09016615647546179,0.6721149203404724,0.7932713290372718
ENSMUSG00000023341,0.057759269680098584,0.7150339280408765,0.8237343965027679
ENSMUSG00000023345,0.5086966986134112,0.06333544786750633,0.1446823800633943
ENSMUSG00000023348,0.020201010616470436,0.860363541140786,0.9189949295470178
ENSMUSG00000023349,-0.43540189333538193,0.06136430585685867,0.14129806385146024
ENSMUSG00000023353,-0.057362868025563236,0.5016054454714527,0.6558508191593629
ENSMUSG00000023367,-0.029140546839625768,0.41440143183282085,0.5776402768207766
ENSMUSG00000023393,0.12066054400774018,0.3761075067745371,0.5410961653942485
ENSMUSG00000023411,0.05608412045689709,0.9393022826610847,0.9652481324550378
ENSMUSG00000023452,0.0548367695300354,0.4140381652698695,0.5773424163296166
ENSMUSG00000023456,0.207552083506928,9.952002223487618e-22,2.0847891767764632e-20
